region,category,parameter,mode,powertrain,year,unit,value
France,Historical,EV charging points,EV,Publicly available fast,2012,charging points,9
France,Historical,EV charging points,EV,Publicly available slow,2012,charging points,800
France,Historical,EV charging points,EV,Publicly available fast,2013,charging points,100
France,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1700
France,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110
France,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1700
France,Historical,EV charging points,EV,Publicly available fast,2015,charging points,580
France,Historical,EV charging points,EV,Publicly available slow,2015,charging points,9900
France,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1000
France,Historical,EV charging points,EV,Publicly available slow,2016,charging points,19000
France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1000
France,Historical,EV charging points,EV,Publicly available slow,2017,charging points,20000
France,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1700
France,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000
France,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2000
France,Historical,EV charging points,EV,Publicly available slow,2019,charging points,28000
France,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3300
France,Historical,EV charging points,EV,Publicly available slow,2020,charging points,31000
France,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4500
France,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000
France,Historical,EV charging points,EV,Publicly available fast,2022,charging points,9700
France,Historical,EV charging points,EV,Publicly available slow,2022,charging points,74000
Switzerland,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
Switzerland,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2013,charging points,27
Switzerland,Historical,EV charging points,EV,Publicly available slow,2013,charging points,600
Switzerland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,99
Switzerland,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1300
Switzerland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,210
Switzerland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,280
Switzerland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3500
Switzerland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,500
Switzerland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,3500
Switzerland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,650
Switzerland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,790
Switzerland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,5400
Switzerland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1200
Switzerland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6700
Switzerland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2300
Switzerland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,8200
Switzerland,Historical,EV charging points,EV,Publicly available fast,2022,charging points,2300
Switzerland,Historical,EV charging points,EV,Publicly available slow,2022,charging points,10000
