"","Date","Diesel","Diesel_delta","Essence","Essence_delta","Conventional_Hybrid","Conventional_Hybrid_delta","Plug_in_Hybrid","Plug_in_Hybrid_delta","Electrique","Electrique_delta"
"1",2012-01-01,20107271,778042,12997890,-235018,10505,629,19615,7170,776,152
"2",2013-01-01,20670861,563590,12662628,-335262,24980,14475,23527,3912,3160,2384
"3",2014-01-01,21137632,466771,12484631,-177997,57146,32166,24779,1252,7016,3856
"4",2015-01-01,21581776,444144,12456148,-28483,87424,30278,26398,1619,11332,4316
"5",2016-01-01,21834299,252523,12592054,135906,124724,37300,29679,3281,22935,11603
"6",2017-01-01,21919839,85540,12823661,231607,167008,42284,32448,2769,36464,13529
"7",2018-01-01,21785249,-134590,13207744,384083,229016,62008,37454,5006,50810,14346
"8",2019-01-01,21282948,-502301,13641263,433519,305862,76846,43925,6471,64714,13904
"9",2020-01-01,20780900,-502048,14089980,448717,382478,76616,51272,7347,88451,23737
"10",2021-01-01,20313664,-467236,14425123,335143,506573,124095,80768,29496,155626,67175
"11",2022-01-01,19822657,-491007,14643776,218653,727902,221329,143183,62415,276879,121253
