"VehicleType","Count"
"Passenger car",10451028
"Motorcycle",1560102
"Delivery vehicle",994246
"Cargo trailer",482458
"Light motor vehicle",129666
"Goods truck (lorry)",112452
"Farm tractor",95200
"Industrial utility vehicle",67900
"Small motorcycle",65016
"Caravan",59160
"Small ATV",52926
"Articulated truck (lorry)",42138
"Utility trailer",40488
"Truck (lorry)",39676
"Cargo trailer with wheel coupling",38452
"Sport trailer",31582
"Farm trailer",28306
"Forklift",25514
"Farm utility trailer",22240
"Small three-wheel motorcycle",21862
"Motorcycle trailer",18872
"Coach, bus",18398
"Farm utility vehicle",16570
"Other trailer",14306
"Tow tractor",12274
"Minibus",11782
"Heavy motor vehicle",10172
"Three-wheel ATV",8900
"Farm truck",4770
"Articulated bus",4560
"Snowmobile",3230
"Walk-behind tractor",2380
"Heavy passenger car",1682
"Motorcycle sidecar",1352
"Lightweight ATV",1192
"Powered wheelbarrow",292
"Articulated vehicle",218
"Three-wheel motorcycle",116
"Farm ATV",4
